# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	246674
#@/user_id	b6ca52f1-d1be-4cc2-9d07-aa8b3716d1d6
a 	吖	c=1 d=3.14571e-306 t=246674
na bu shi 	那不是	c=3 d=4.86804e-61 t=246674
na bu wen 	拿不穩	c=1 d=5.52055e-129 t=246674
na bu ying gai 	那不應該	c=1 d=1 t=161843
na ceng 	那層	c=1 d=1.31162e-103 t=246674
na chang ting 	那長亭	c=1 d=1 t=243264
na chi 	哪喫	c=1 d=5.05346e-89 t=246674
na chu 	拿出	c=3 d=6.96496e-128 t=246674
na chu lai 	拿出來	c=8 d=4.47683e-46 t=246674
na chuan 	那串	c=1 d=1 t=207321
na ci 	那次	c=4 d=1.14278e-33 t=246674
na cong 	那從	c=1 d=1 t=199602
na dang ran 	那當然	c=1 d=1.18456e-257 t=246674
na dao 	拿到	c=29 d=0.0350844 t=246674
na dao le 	拿到了	c=6 d=1.9619e-46 t=246674
na de 	那得	c=1 d=1.29601e-21 t=246674
na dei 	拿得	c=1 d=2.49935e-159 t=246674
na dei 	那得	c=2 d=1.99624e-103 t=246674
na deng 	那等	c=1 d=3.45962e-43 t=246674
na deng xia 	那等下	c=2 d=9.39113e-56 t=246674
na dian 	哪點	c=2 d=1 t=218350
na dian 	拿點	c=1 d=9.30658e-126 t=246674
na dong xi 	拿東西	c=1 d=1 t=191987
na dou 	那都	c=1 d=1.18116e-47 t=246674
na dou suan shi 	那都算是	c=1 d=8.64091e-194 t=246674
na duan 	哪段	c=1 d=1.03015e-114 t=246674
na duan 	那段	c=6 d=2.37154e-71 t=246674
na duo 	那多	c=0 d=1.70119e-46 t=246674
na er wei 	納爾維	c=10 d=6.2367e-270 t=246674
na fang mian 	哪方面	c=1 d=2.68348e-113 t=246674
na gan jue 	那感覺	c=2 d=1.28574e-192 t=246674
na ge 	哪個	c=159 d=0.0811077 t=246674
na ge 	拿個	c=1 d=1 t=189377
na ge 	那個	c=442 d=0.525602 t=246674
na ge bao 	那個包	c=1 d=1.96606e-159 t=246674
na ge qun 	那個羣	c=1 d=1.28333e-23 t=246674
na ge ren 	哪個人	c=1 d=1.37546e-162 t=246674
na ge ren 	那個人	c=2 d=5.21302e-43 t=246674
na ge shi hou 	那個時候	c=4 d=6.03814e-07 t=246674
na ge shui 	那個誰	c=1 d=1 t=191511
na gei ta 	那給他	c=1 d=1.08316e-263 t=246674
na gei wo 	那給我	c=1 d=2.06714e-190 t=246674
na gen 	哪根	c=2 d=4.56013e-57 t=246674
na gen 	那根	c=1 d=3.56923e-57 t=246674
na gong gao 	那公告	c=1 d=1.77003e-188 t=246674
na gu ji 	那估計	c=2 d=4.98586e-107 t=246674
na guo 	拿過	c=4 d=0.373439 t=246674
na guo lai 	拿過來	c=2 d=2.85291e-98 t=246674
na hai 	那還	c=3 d=1.15758e-45 t=246674
na hai bu 	那還不	c=1 d=2.03035e-214 t=246674
na hai hao 	那還好	c=2 d=1.43588e-109 t=246674
na hai neng 	那還能	c=1 d=5.12252e-131 t=246674
na hai shi 	那還是	c=5 d=4.95203e-27 t=246674
na hao 	那好	c=1 d=1 t=173892
na hao ba 	那好吧	c=1 d=1.48239e-278 t=246674
na hui 	拿回	c=2 d=1.53114e-237 t=246674
na hui lai 	拿回來	c=4 d=0.000649051 t=246674
na ji ge 	哪幾個	c=1 d=3.66633e-108 t=246674
na ji ge 	那幾個	c=2 d=2.1031e-187 t=246674
na ji zhong 	哪幾種	c=1 d=0.1 t=181681
na jia 	哪家	c=9 d=8.03202e-11 t=246674
na jia 	那家	c=3 d=0.000754472 t=246674
na jie jie 	那姐姐	c=1 d=5.05571e-153 t=246674
na jin qu 	拿進去	c=1 d=4.71904e-107 t=246674
na jiu 	那就	c=108 d=0.20089 t=246674
na jiu bei 	那就背	c=1 d=2.00823e-144 t=246674
na jiu hao 	那就好	c=1 d=1 t=227078
na jiu shi 	那就是	c=15 d=4.89949e-07 t=246674
na jiu wan 	那就玩	c=1 d=2.29224e-112 t=246674
na jiu yao 	那就要	c=1 d=4.74692e-235 t=246674
na jiu zhe yang 	那就這樣	c=1 d=7.96088e-259 t=246674
na ju hua 	那句話	c=1 d=2.67382e-100 t=246674
na ke neng 	那可能	c=6 d=1.4514e-08 t=246674
na ke yi 	那可以	c=7 d=9.75112e-28 t=246674
na ken ding 	那肯定	c=7 d=2.43249e-46 t=246674
na kou 	那口	c=1 d=6.92416e-294 t=246674
na kuai 	那塊	c=11 d=1.40387e-17 t=246674
na kuan 	哪款	c=1 d=1 t=178950
na kuan 	那款	c=2 d=2.06135e-130 t=246674
na lai 	哪來	c=6 d=1.50355e-92 t=246674
na lai 	拿來	c=14 d=0.00511796 t=246674
na le 	拿了	c=2 d=2.39026e-134 t=246674
na li 	哪裏	c=52 d=0.0053397 t=246674
na li 	那裏	c=30 d=0.00562801 t=246674
na li tui song 	哪裏推送	c=1 d=1.57317e-07 t=246674
na lia 	那倆	c=1 d=6.42276e-292 t=246674
na liang 	那兩	c=0 d=2.06091e-273 t=246674
na liang ge 	那兩個	c=1 d=1.45888e-237 t=246674
na liang tiao 	那兩條	c=1 d=2.07124e-272 t=246674
na liang zhong 	哪兩種	c=1 d=1 t=173631
na mai 	哪買	c=1 d=8.75268e-110 t=246674
na me 	那麼	c=207 d=0.00256042 t=246674
na me chang 	那麼長	c=2 d=1.58824e-119 t=246674
na me chou xiang 	那麼抽象	c=1 d=2.07932e-24 t=246674
na me da 	那麼大	c=1 d=1.46869e-257 t=246674
na me duo 	那麼多	c=18 d=0.0143357 t=246674
na me duo ci 	那麼多次	c=1 d=1 t=245942
na me duo qian 	那麼多錢	c=1 d=3.84214e-159 t=246674
na me gao 	那麼高	c=1 d=1 t=246137
na me gui 	那麼貴	c=1 d=2.69401e-159 t=246674
na me jiu 	那麼久	c=2 d=7.37285e-268 t=246674
na me nan 	那麼難	c=1 d=1 t=236662
na me qiang 	那麼強	c=1 d=0.100123 t=243151
na me shi 	那麼是	c=1 d=1.40654e-219 t=246674
na me xian 	那麼閒	c=1 d=1 t=188056
na men 	納悶	c=1 d=1.4512e-175 t=246674
na mu qian 	那目前	c=1 d=4.97685e-27 t=246674
na nan de 	那男的	c=1 d=1.6623e-67 t=246674
na ne 	哪呢	c=1 d=9.03336e-99 t=246674
na ni 	納尼	c=1 d=1.38241e-280 t=246674
na ni 	那你	c=149 d=0.451315 t=246674
na ni ke neng 	那你可能	c=1 d=1 t=219451
na ni men 	那你們	c=5 d=1 t=244026
na ni shuo 	那你說	c=1 d=1.38493e-37 t=246674
na ni xian zai 	那你現在	c=1 d=1 t=216823
na ni yao 	那你要	c=1 d=3.39115e-190 t=246674
na ni you 	那你又	c=1 d=1 t=245828
na nie 	拿捏	c=2 d=1 t=243181
na nuo 	那諾	c=1 d=8.78637e-67 t=246674
na pian 	那篇	c=1 d=5.22228e-152 t=246674
na qi bu 	那豈不	c=1 d=1.42804e-221 t=246674
na qi lai 	拿起來	c=1 d=1.09945e-174 t=246674
na qi shi 	那其實	c=1 d=1 t=199340
na qian 	拿錢	c=2 d=1.94689e-132 t=246674
na qu 	哪去	c=4 d=2.89298e-115 t=246674
na qu 	拿去	c=6 d=4.34008e-34 t=246674
na que shi 	那確實	c=5 d=7.32425e-14 t=246674
na qun 	那羣	c=1 d=3.11713e-140 t=246674
na ren 	那人	c=1 d=6.00705e-152 t=246674
na ru guo 	那如果	c=4 d=1.17483e-72 t=246674
na sha 	那啥	c=3 d=1.62038e-90 t=246674
na shang lai 	拿上來	c=1 d=9.03797e-105 t=246674
na shen me 	拿什麼	c=1 d=1 t=185328
na shen me shi hou 	那什麼時候	c=1 d=1 t=185455
na shi 	那是	c=18 d=0.0254765 t=246674
na shi 	那時	c=1 d=9.08615e-285 t=246674
na shi hou 	那時候	c=9 d=7.92296e-56 t=246674
na shi sha 	那是啥	c=2 d=1.03461e-106 t=246674
na shi shang yi nian 	那是上一年	c=1 d=1.19251e-130 t=246674
na shi shui 	那是誰	c=1 d=1 t=235193
na shi yong 	那使用	c=1 d=1 t=192615
na shou ge 	哪首歌	c=1 d=3.36566e-307 t=246674
na shui 	那誰	c=1 d=1 t=185392
na shuo bu zhun 	那說不準	c=1 d=7.76104e-19 t=246674
na shuo ming 	那說明	c=3 d=9.38184e-15 t=246674
na suan le 	那算了	c=2 d=9.00879e-67 t=246674
na ta 	那他	c=2 d=1.33711e-06 t=246674
na ta men 	那他們	c=2 d=1.00005 t=237235
na tai 	哪臺	c=3 d=1.00002 t=227456
na tai 	那臺	c=4 d=0.000378233 t=246674
na tang ke 	那堂課	c=1 d=8.81668e-225 t=246674
na tao 	那套	c=1 d=1 t=217205
na tian 	那天	c=8 d=0.0265162 t=246674
na tian shi 	那天是	c=1 d=1.21533e-294 t=246674
na tiao 	那條	c=1 d=0.00018046 t=246674
na tie 	拿鐵	c=10 d=7.6662e-80 t=246674
na wan 	那晚	c=1 d=8.53513e-108 t=246674
na wan yi 	那玩意	c=2 d=2.54488e-48 t=246674
na wei 	哪位	c=1 d=2.2795e-164 t=246674
na wei 	那位	c=3 d=6.97111e-110 t=246674
na wei sha 	那位啥	c=1 d=7.00606e-109 t=246674
na wei sha 	那爲啥	c=1 d=1 t=245482
na wei shen me 	那爲什麼	c=9 d=2.19532e-45 t=246674
na wen 	拿穩	c=1 d=1 t=192096
na wen zhang 	那文章	c=1 d=2.17026e-292 t=246674
na wo 	那我	c=110 d=0.0196773 t=246674
na wo gai 	那我該	c=1 d=1 t=226739
na wo men 	那我們	c=2 d=1 t=211919
na wo ne 	那我呢	c=1 d=5.86929e-85 t=246674
na wu 	那五	c=1 d=2.61441e-306 t=246674
na wu suo wei 	那無所謂	c=1 d=7.71658e-69 t=246674
na xia 	拿下	c=22 d=1.22197 t=239575
na xia qu 	拿下去	c=1 d=6.29506e-56 t=246674
na xiang 	哪像	c=1 d=2.41092e-147 t=246674
na xie 	哪些	c=58 d=0.0823479 t=246674
na xie 	那些	c=75 d=3.1476e-07 t=246674
na xie nei rong 	哪些內容	c=1 d=1 t=145754
na xie ren 	那些人	c=1 d=1.95798e-140 t=246674
na xing 	那行	c=3 d=2.77641e-43 t=246674
na xue 	哪學	c=1 d=1 t=149213
na xue qi 	那學期	c=1 d=1 t=235466
na yang 	哪樣	c=2 d=2.07016e-119 t=246674
na yang 	那樣	c=17 d=2.28064e-23 t=246674
na yang wan 	那樣玩	c=1 d=7.01902e-307 t=246674
na yao 	那要	c=1 d=1 t=218294
na yao shen me 	那要什麼	c=1 d=1 t=186478
na yao zen me 	那要怎麼	c=1 d=1 t=185295
na ye 	那也	c=1 d=7.5e-87 t=246674
na ye kun chong 	那也昆蟲	c=1 d=1 t=186465
na ye shi 	那也是	c=1 d=1 t=236972
na yi 	哪一	c=0 d=0.1 t=222884
na yi 	那一	c=0 d=3.29492e-29 t=246674
na yi bei 	那一輩	c=1 d=1 t=234019
na yi bian 	那一邊	c=1 d=3.07471e-214 t=246674
na yi bu 	那一步	c=1 d=1.98657e-281 t=246674
na yi ceng 	那一層	c=1 d=5.12128e-40 t=246674
na yi chu 	那一出	c=1 d=1 t=186072
na yi dong 	哪一棟	c=1 d=1 t=222885
na yi duan 	哪一段	c=1 d=1 t=163549
na yi dui 	那一堆	c=1 d=5.3995e-221 t=246674
na yi ge 	哪一個	c=2 d=1.18338e-69 t=246674
na yi ge 	拿一個	c=1 d=1.00734e-86 t=246674
na yi lei 	哪一類	c=1 d=1 t=157111
na yi pi 	那一批	c=1 d=1 t=193534
na yi qian 	那以前	c=1 d=1 t=188107
na yi tao 	那一套	c=2 d=1 t=187570
na yi tiao 	那一條	c=1 d=1 t=150078
na yi zhong 	哪一種	c=1 d=1 t=201632
na yi zhong 	那一種	c=1 d=1 t=201630
na yi zhuo 	那一卓	c=1 d=5.35379e-268 t=246674
na ying gai 	那應該	c=5 d=6.10382e-46 t=246674
na ying gai shi 	那應該是	c=3 d=5.56217e-41 t=246674
na you 	哪有	c=6 d=1.65227e-84 t=246674
na you 	那有	c=1 d=1 t=185357
na za 	那喒	c=1 d=1 t=217774
na zan 	那咱	c=1 d=1 t=242440
na zen me 	那怎麼	c=4 d=3.97519e-89 t=246674
na zen me ban 	那怎麼辦	c=1 d=1.95692e-163 t=246674
na zhang 	拿張	c=1 d=1 t=230329
na zhang 	那張	c=3 d=4.53694e-144 t=246674
na zhang ka 	那張卡	c=1 d=1.94233e-222 t=246674
na zhe 	拿着	c=2 d=1.36831e-42 t=246674
na zhe 	那這	c=1 d=7.53582e-143 t=246674
na zhe dao ti 	那這道題	c=1 d=1 t=219269
na zhe ge 	那這個	c=3 d=1.9453e-93 t=246674
na zhe li 	那這裏	c=1 d=1 t=203803
na zhe yang 	那這樣	c=3 d=3.36918e-144 t=246674
na zhe yang zuo 	那這樣做	c=1 d=3.38606e-143 t=246674
na zhe zhong 	那這種	c=1 d=1 t=237008
na zhi 	哪支	c=1 d=1.35185e-223 t=246674
na zhi 	那隻	c=0 d=1.75858e-289 t=246674
na zhi neng 	那只能	c=3 d=2.43655e-95 t=246674
na zhi ni 	那隻你	c=1 d=1.7674e-288 t=246674
na zhi qian 	那之前	c=1 d=1.06428e-262 t=246674
na zhi shi 	那只是	c=1 d=1.33081e-68 t=246674
na zhong 	哪種	c=7 d=3.14405e-06 t=246674
na zhong 	那種	c=99 d=0.847894 t=246674
na zhong ren 	那種人	c=1 d=8.44425e-276 t=246674
na zou 	拿走	c=3 d=1.78035e-80 t=246674
nai 	乃	c=1 d=5.20192e-253 t=246674
nai 	奶	c=8 d=0.0136366 t=246674
nai cha 	奶茶	c=5 d=9.97354e-58 t=246674
nai fen 	奶粉	c=3 d=1.27657e-199 t=246674
nai he 	奈何	c=2 d=2.85115e-32 t=246674
nai lao 	耐勞	c=1 d=1 t=216639
nai nai 	奶奶	c=4 d=1.73327e-147 t=246674
nai nai de 	奶奶的	c=1 d=5.16948e-297 t=246674
nai xi 	奶昔	c=2 d=5.04443e-175 t=246674
nai xin 	耐心	c=1 d=1.53435e-155 t=246674
nai zi 	奶子	c=11 d=0.0457609 t=246674
nan 	南	c=1 d=8.76489e-97 t=246674
nan 	男	c=20 d=1.92731e-72 t=246674
nan 	難	c=27 d=4.76187e-06 t=246674
nan an 	南安	c=0 d=4.01232e-258 t=246674
nan beng 	難崩	c=3 d=7.12255e-09 t=246674
nan bu cheng 	難不成	c=3 d=4.36941e-25 t=246674
nan da 	難打	c=1 d=3.73748e-187 t=246674
nan dao 	難道	c=28 d=0.00396599 t=246674
nan de 	男的	c=26 d=9.17672e-49 t=246674
nan de 	难得	c=1 d=1.27391e-289 t=246674
nan dian 	南點	c=1 d=1 t=242983
nan ding 	難頂	c=11 d=0.172218 t=246674
nan du 	難度	c=9 d=7.76236e-21 t=246674
nan fan 	難翻	c=2 d=1.98511 t=211592
nan fang 	南方	c=1 d=3.50037e-210 t=246674
nan gai 	難改	c=1 d=6.04706e-230 t=246674
nan gao 	難搞	c=7 d=0.0428521 t=246674
nan guai 	難怪	c=1 d=1 t=207526
nan guo 	难过	c=1 d=4.47425e-98 t=246674
nan hai 	男孩	c=1 d=1.74962e-228 t=246674
nan he 	難喝	c=1 d=2.13582e-104 t=246674
nan ji 	難記	c=1 d=9.93329e-128 t=246674
nan jing 	南京	c=3 d=7.33071e-302 t=246674
nan mian 	難免	c=2 d=1.11639e-168 t=246674
nan min 	難民	c=1 d=1 t=162514
nan nv 	男女	c=1 d=1 t=185874
nan peng you 	男朋友	c=6 d=6.16306e-42 t=246674
nan qin 	男寢	c=1 d=1.64046e-176 t=246674
nan ren 	男人	c=1 d=0.1 t=187816
nan shao men 	南稍門	c=3 d=8.29584e-97 t=246674
nan sheng 	男生	c=2 d=3.06404e-85 t=246674
nan shou 	難受	c=14 d=1.2742e-86 t=246674
nan shou si 	難受死	c=1 d=1.12013e-158 t=246674
nan shuo 	難說	c=1 d=1 t=242760
nan ti 	難題	c=2 d=1 t=194847
nan tiao 	難挑	c=1 d=8.81032e-99 t=246674
nan tong 	南通	c=2 d=1.05212e-87 t=246674
nan tong 	男同	c=1 d=1.80768e-24 t=246674
nan xiang 	男相	c=1 d=1 t=221028
nan xie 	難寫	c=2 d=1.31664e-236 t=246674
nan xing 	男性	c=1 d=7.6753e-241 t=246674
nan xuan 	難選	c=3 d=0.496585 t=246674
nan yi 	難以	c=5 d=1.14524e-66 t=246674
nan yi 	難易	c=1 d=1 t=229779
nan yi wei hu 	難以維護	c=1 d=2.2805e-81 t=246674
nan yong 	難用	c=1 d=1.77063e-193 t=246674
nan you 	男友	c=4 d=1.28023e-24 t=246674
nan zhao 	難找	c=3 d=0.000156102 t=246674
nao 	腦	c=2 d=2.12133e-24 t=246674
nao 	鬧	c=6 d=2.71827e-80 t=246674
nao ban tian 	鬧半天	c=1 d=1 t=209774
nao dai 	腦袋	c=1 d=4.54681e-52 t=246674
nao gua zi 	腦瓜子	c=1 d=1.5054e-224 t=246674
nao huo 	惱火	c=3 d=1.30441e-97 t=246674
nao ke 	腦殼	c=7 d=5.27634e-38 t=246674
nao nei 	腦內	c=1 d=7.91873e-226 t=246674
nao re 	腦熱	c=1 d=1.16304e-306 t=246674
nao tan 	腦癱	c=3 d=7.99119e-98 t=246674
nao xin 	鬧心	c=2 d=1 t=236239
nao yan 	腦炎	c=1 d=1 t=142796
nao yi xie 	腦溢血	c=1 d=8.01765e-225 t=246674
nao yi xue 	腦溢血	c=1 d=1.22762e-89 t=246674
nao zhong 	鬧鐘	c=14 d=1.45504e-71 t=246674
nao zi 	腦子	c=16 d=8.64406e-22 t=246674
ne 	呢	c=296 d=0.0773047 t=246674
ne wo 	呢我	c=9 d=4.65809e-13 t=246674
nei 	內	c=46 d=6.84094e-05 t=246674
nei bu 	內部	c=82 d=3.10666e-06 t=246674
nei bu chuan di tuo pu xin xi 	內部傳遞托普信息	c=1 d=1 t=150399
nei bu gong neng 	內部功能	c=1 d=1 t=174686
nei bu lei 	內部類	c=26 d=8.66053e-15 t=246674
nei ceng 	內層	c=1 d=1 t=210407
nei cun 	內存	c=169 d=6.5679e-09 t=246674
nei cun de yin xiang 	內存的印象	c=1 d=1 t=191802
nei cun fen pei 	內存分配	c=1 d=1.98162e-46 t=246674
nei cun kuai 	內存快	c=1 d=1 t=142002
nei cun ma 	內存碼	c=1 d=1 t=217934
nei cun ma 	內存馬	c=3 d=1 t=229578
nei cun qu yu 	內存區域	c=1 d=3.12338e-46 t=246674
nei cun tiao 	內存條	c=1 d=3.97835e-304 t=246674
nei cun zhong 	內存中	c=1 d=0.192857 t=191814
nei cun zhong yi xi lie shu zi 	內存中一系列數字	c=1 d=1 t=191681
nei fu 	內服	c=1 d=2.28284e-240 t=246674
nei gui 	內鬼	c=1 d=8.66152e-222 t=246674
nei he 	內核	c=15 d=3.2756e-30 t=246674
nei jian 	內建	c=0 d=1.08182e-132 t=246674
nei jian 	內鍵	c=1 d=1.45077e-289 t=246674
nei jian de 	內建的	c=1 d=1.08725e-131 t=246674
nei jiang 	內江	c=1 d=0.000784864 t=246674
nei ku 	內褲	c=1 d=7.02089e-222 t=246674
nei lian 	內聯	c=9 d=1.1687e-128 t=246674
nei meng gu 	內蒙古	c=1 d=1 t=222239
nei qian 	內嵌	c=4 d=1.03679e-191 t=246674
nei rang 	內讓	c=1 d=1.58657e-136 t=246674
nei rong 	內容	c=182 d=0.602177 t=246674
nei rong hou 	內容後	c=1 d=1 t=179336
nei rong mei 	內容美	c=1 d=1 t=195212
nei rong shi 	內容是	c=1 d=1.02563e-33 t=246674
nei rui 	內瑞	c=1 d=1 t=228600
nei tou 	內頭	c=1 d=6.06865e-125 t=246674
nei tui 	內推	c=20 d=0.0596059 t=246674
nei tui ma 	內推碼	c=1 d=1 t=232215
nei wai wang 	內外網	c=2 d=1 t=185255
nei wang 	內網	c=93 d=4.29961e-14 t=246674
nei wang ben 	內網本	c=1 d=1 t=174951
nei wang chuan tou 	內網穿透	c=1 d=1 t=240463
nei wang zhong 	內網中	c=2 d=1 t=218146
nei wu 	內務	c=1 d=1 t=235275
nei xiang 	內向	c=4 d=2.62166e-37 t=246674
nei yi 	內衣	c=3 d=6.19732e-19 t=246674
nei zai 	內在	c=1 d=2.8971e-73 t=246674
nei zhi 	內置	c=6 d=1.74188e-29 t=246674
nen 	嫩	c=1 d=2.25197e-80 t=246674
nen o 	嫩哦	c=1 d=1 t=158106
neng 	能	c=163 d=0.000155417 t=246674
neng a 	能啊	c=1 d=1 t=218586
neng ba 	能把	c=1 d=1 t=193645
neng bu neng 	能不能	c=69 d=0.816325 t=246674
neng chen shu 	能陳述	c=1 d=1.66694e-41 t=246674
neng chi 	能喫	c=1 d=5.7505e-21 t=246674
neng chu guo 	能出國	c=1 d=0.000320701 t=246674
neng chu lai 	能出來	c=1 d=9.88679e-161 t=246674
neng chu li 	能處理	c=1 d=1 t=144310
neng da 	能打	c=1 d=5.06486e-233 t=246674
neng da dao 	能達到	c=1 d=1 t=195651
neng dang 	能當	c=1 d=1.44146e-184 t=246674
neng diao si 	能吊死	c=1 d=9.0768e-126 t=246674
neng fang wen 	能訪問	c=1 d=2.81053e-69 t=246674
neng fou 	能否	c=2 d=3.61089e-164 t=246674
neng gao 	能搞	c=2 d=0.351692 t=246674
neng gei ni 	能給你	c=1 d=1.97409e-60 t=246674
neng gen 	能跟	c=2 d=1 t=188207
neng gou 	能夠	c=39 d=2.04558e-09 t=246674
neng gou chu li 	能夠處理	c=1 d=2.05583e-08 t=246674
neng gou du ku 	能夠賭窟	c=1 d=1 t=195263
neng gou zi dong 	能夠自動	c=1 d=6.30538e-134 t=246674
neng guo 	能過	c=3 d=1 t=217137
neng hu tong 	能互通	c=1 d=1 t=227409
neng hua 	能畫	c=1 d=1.73487e-246 t=246674
neng hui fu 	能恢復	c=1 d=2.3549e-47 t=246674
neng huo zhe 	能活着	c=1 d=1.50243e-142 t=246674
neng jiang qi 	能將其	c=1 d=4.59578e-31 t=246674
neng jie 	能解	c=1 d=1.04649 t=207367
neng kan 	能看	c=1 d=2.3627e-174 t=246674
neng kan dao 	能看到	c=0 d=9.97436e-295 t=246674
neng kan dong 	能看懂	c=1 d=1.5764e-178 t=246674
neng kan kan 	能看看	c=2 d=5.57134e-266 t=246674
neng lai 	能來	c=1 d=2.15802e-108 t=246674
neng li 	能力	c=87 d=0.0675424 t=246674
neng li qiang 	能力強	c=1 d=1.09753 t=193999
neng li shang 	能力上	c=1 d=1 t=193968
neng liao 	能聊	c=1 d=1 t=188370
neng ling dao 	能領導	c=1 d=1 t=163240
neng mai sha 	能買啥	c=1 d=9.58551e-238 t=246674
neng na 	能拿	c=1 d=1.60224e-134 t=246674
neng nong 	能弄	c=2 d=2.02337e-56 t=246674
neng pan duan 	能判斷	c=1 d=7.56869e-106 t=246674
neng qi dong 	能啓動	c=1 d=1 t=158150
neng qiang dao 	能搶到	c=1 d=3.04927e-87 t=246674
neng qu 	能去	c=5 d=2.31543e-271 t=246674
neng rang 	能讓	c=1 d=1 t=167653
neng shan 	能刪	c=2 d=3.51228e-103 t=246674
neng shan guo 	能閃過	c=1 d=1.00646e-105 t=246674
neng shu ru 	能輸入	c=1 d=1 t=181824
neng suan 	能算	c=1 d=1 t=233325
neng tong 	能通	c=1 d=1 t=245030
neng wan 	能玩	c=3 d=8.50378e-06 t=246674
neng xia 	能下	c=1 d=4.89982e-255 t=246674
neng xie 	能寫	c=5 d=1.2902e-27 t=246674
neng xie diao 	能卸掉	c=1 d=1.58262e-48 t=246674
neng xing 	能行	c=2 d=2.46649e-121 t=246674
neng yong 	能用	c=12 d=2.04802e-22 t=246674
neng yong de 	能用的	c=1 d=3.91563e-176 t=246674
neng yong shang 	能用上	c=1 d=1 t=195118
neng you 	能有	c=2 d=1.28653e-111 t=246674
neng you sha 	能有啥	c=1 d=5.99582e-130 t=246674
neng zai 	能在	c=4 d=1.61795e-43 t=246674
neng zhao dao 	能找到	c=1 d=1 t=243694
neng zheng chang 	能正常	c=1 d=1 t=166588
neng zheng shi 	能正式	c=1 d=5.12431e-282 t=246674
neng zhuan 	能賺	c=1 d=4.1031e-138 t=246674
neng zhuan zheng 	能轉正	c=1 d=1 t=234182
neng zi ding yi 	能自定義	c=1 d=9.20898e-149 t=246674
neng zuo 	能做	c=2 d=2.51827e-42 t=246674
neng zuo dao 	能做到	c=1 d=4.80961e-66 t=246674
ni 	你	c=1381 d=1.55208 t=246674
ni 	妮	c=1 d=5.8651e-106 t=246674
ni 	擬	c=1 d=3.84569e-258 t=246674
ni 	逆	c=3 d=3.44893e-36 t=246674
ni ai 	你愛	c=1 d=5.09091e-117 t=246674
ni ba 	你把	c=6 d=1.11725e-100 t=246674
ni ba ren 	你把人	c=1 d=1 t=151105
ni ban ben 	你版本	c=1 d=3.50582e-52 t=246674
ni ban guo lai 	你搬過來	c=1 d=1.53946e-105 t=246674
ni bang wo 	你幫我	c=3 d=2.76906e-100 t=246674
ni bei wo 	你被我	c=1 d=1 t=188113
ni ben lai 	你本來	c=2 d=1 t=200011
ni bi 	你比	c=1 d=2.92534e-187 t=246674
ni bie 	你別	c=3 d=1.20482e-45 t=246674
ni bie gao su wo 	你別告訴我	c=1 d=1 t=185895
ni bie qi 	你別氣	c=1 d=8.59307e-70 t=246674
ni bu 	你不	c=0 d=4.28456e-295 t=246674
ni bu dong 	你不懂	c=1 d=1.04145e-66 t=246674
ni bu gao xing 	你不高興	c=1 d=1 t=201761
ni bu guan 	你不管	c=1 d=1.26828e-90 t=246674
ni bu hui 	你不會	c=2 d=2.3722e-133 t=246674
ni bu jiu shi 	你不就是	c=1 d=1.0327e-55 t=246674
ni bu neng 	你不能	c=1 d=2.58546e-87 t=246674
ni bu ren shi 	你不認識	c=1 d=4.30603e-294 t=246674
ni bu ru 	你不如	c=1 d=2.83424e-109 t=246674
ni bu shi 	你不是	c=23 d=0.00555294 t=246674
ni bu shuo 	你不說	c=5 d=3.22278e-91 t=246674
ni bu tai dong 	你不太懂	c=1 d=1 t=235462
ni bu xi huan 	你不喜歡	c=3 d=1.0034e-172 t=246674
ni bu xiang 	你不想	c=2 d=8.82948e-07 t=246674
ni bu xin 	你不信	c=1 d=3.27682e-22 t=246674
ni bu xing 	你不行	c=1 d=0.514274 t=246674
ni bu yao 	你不要	c=2 d=1.1926e-219 t=246674
ni bu yong 	你不用	c=1 d=1 t=152481
ni bu zhi dao 	你不知道	c=1 d=1 t=224746
ni cai 	你猜	c=5 d=5.23363e-60 t=246674
ni cai cai 	你踩踩	c=1 d=1 t=202104
ni cai shi 	你纔是	c=2 d=1 t=218710
ni cai yong 	你猜用	c=1 d=1 t=162628
ni ce 	你測	c=1 d=1 t=192082
ni chang shi 	你嘗試	c=1 d=3.31496e-158 t=246674
ni che 	你車	c=1 d=1.46413e-103 t=246674
ni cheng 	昵稱	c=6 d=3.36904e-25 t=246674
ni chi 	你喫	c=2 d=4.87068e-38 t=246674
ni chi fan mei 	你喫飯沒	c=1 d=1.6812e-288 t=246674
ni chong xin 	你重新	c=2 d=2.67894e-240 t=246674
ni chuan 	你傳	c=1 d=8.78317e-239 t=246674
ni chuo 	你戳	c=1 d=1 t=240943
ni cuo le 	你錯了	c=1 d=1.08565e-55 t=246674
ni da 	你打	c=2 d=7.51326e-50 t=246674
ni da bu da de kai 	你打不打的開	c=1 d=7.55092e-49 t=246674
ni da hao 	你大號	c=1 d=4.71392e-153 t=246674
ni da kai 	你打開	c=1 d=8.67501e-64 t=246674
ni da wo 	你打我	c=1 d=1 t=164932
ni dai kuan 	你帶寬	c=1 d=3.81141e-94 t=246674
ni dan du 	你單獨	c=1 d=2.49696e-89 t=246674
ni dang ran 	你當然	c=1 d=5.68969e-278 t=246674
